"filename", "language", "JSON", "Markdown", "TypeScript", "JavaScript", "TypeScript React", "JavaScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Dropdown\Dropdown.tsx", "TypeScript React", 0, 0, 0, 0, 41, 0, 0, 0, 1, 5, 47
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Dropdown\DropdownStyles.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\ErrorBoundary.tsx", "TypeScript React", 0, 0, 0, 0, 24, 0, 0, 0, 3, 6, 33
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Icons\Icons.tsx", "TypeScript React", 0, 0, 0, 0, 38, 0, 0, 0, 0, 2, 40
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Icons\TransactionTypeIcons.tsx", "TypeScript React", 0, 0, 0, 0, 84, 0, 0, 0, 0, 6, 90
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Icons\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Modal\Modal.tsx", "TypeScript React", 0, 0, 0, 0, 63, 0, 0, 0, 0, 7, 70
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Modal\Styles.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Placeholders\DashboardNoExchanges.tsx", "TypeScript React", 0, 0, 0, 0, 18, 0, 0, 0, 0, 7, 25
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Placeholders\Styles.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Placeholders\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\PrivateRoute.jsx", "JavaScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\index.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_constants\alert.constants.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_constants\applicationView.constants.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_constants\exchange.constants.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_constants\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_constants\portfolio.constants.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_constants\user.constants.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
